dataset,model,tier,rmse,mae,r2,train_time_sec,predict_time_sec,peak_mem_mb,refresh_count,condition_proxy,stability_rmse_var,stability_time_var,stability_cond_var
Superconduct,K-NoOrthog,Small,0.483216 ± 0.004005,0.332966 ± 0.004781,0.757136 ± 0.003376,1.0621 ± 0.0327,0.020067 ± 0.000525,421.73 ± 0.00,1.0 ± 0.0,4.49e+06 ± 3.32e+06,0.004004621472491066,0.03265349734497675,3317318.1561377565
Superconduct,K-NoDivPenalty,Small,0.483458 ± 0.003384,0.334042 ± 0.004632,0.756892 ± 0.003008,1.5183 ± 0.0199,0.041828 ± 0.000552,1261.51 ± 0.00,1.0 ± 0.0,2.92e+06 ± 2.02e+06,0.0033844371495411756,0.01988171936423418,2022464.1486432876
Superconduct,K-NoFreeze,Small,0.483458 ± 0.003384,0.334042 ± 0.004632,0.756892 ± 0.003008,1.6213 ± 0.0990,0.040782 ± 0.000105,1261.51 ± 0.00,1.0 ± 0.0,2.92e+06 ± 2.02e+06,0.0033844371495411756,0.09900265727101097,2022464.1486432876
HouseSales,Kernos,Small,0.486363 ± 0.021348,0.363087 ± 0.017027,0.757358 ± 0.022698,1.9841 ± 0.0367,0.044564 ± 0.000827,1295.26 ± 0.00,1.0 ± 0.0,5.34e+05 ± 3.37e+05,0.021347829914339176,0.03670614113979856,336944.94269947574
HouseSales,Ridge,Small,0.495934 ± 0.003561,0.383175 ± 0.004043,0.748288 ± 0.004950,0.0003 ± 0.0000,0.000017 ± 0.000005,0.01 ± 0.00,0.0 ± 0.0,nan ± nan,0.0035614099114466015,8.24822423273506e-06,nan
HouseSales,Nystrom,Small,0.914290 ± 0.009143,0.696400 ± 0.005393,0.144551 ± 0.015770,0.1382 ± 0.0042,0.016695 ± 0.001000,458.15 ± 0.00,0.0 ± 0.0,nan ± nan,0.009143327262953502,0.004183770235871612,nan
HouseSales,RFF,Small,0.935873 ± 0.020446,0.704551 ± 0.012307,0.103804 ± 0.025791,0.0885 ± 0.0017,0.015313 ± 0.000696,177.36 ± 0.00,0.0 ± 0.0,nan ± nan,0.02044597585462983,0.0017061687186925069,nan
HouseSales,K-NoRefresh,Small,0.478472 ± 0.018233,0.355482 ± 0.014945,0.765222 ± 0.020260,1.5747 ± 0.0763,0.047293 ± 0.001576,1295.26 ± 0.00,0.0 ± 0.0,6.45e+05 ± 4.68e+05,0.01823296306469391,0.07625732398009745,467594.3876807269
HouseSales,K-NoHysteresis,Small,0.486363 ± 0.021348,0.363087 ± 0.017027,0.757358 ± 0.022698,1.8141 ± 0.0918,0.049327 ± 0.001757,1295.26 ± 0.00,1.0 ± 0.0,5.34e+05 ± 3.37e+05,0.021347829914339176,0.0917926520858037,336944.94269947574
HouseSales,K-NoCooldown,Small,0.486363 ± 0.021348,0.363087 ± 0.017027,0.757358 ± 0.022698,1.7740 ± 0.2636,0.043691 ± 0.000234,1295.26 ± 0.00,1.0 ± 0.0,5.34e+05 ± 3.37e+05,0.021347829914339176,0.26361641667126057,336944.94269947574
HouseSales,K-NoResidAnchors,Small,0.484196 ± 0.021570,0.360933 ± 0.015775,0.759516 ± 0.022590,1.7252 ± 0.1288,0.043779 ± 0.000060,1295.26 ± 0.00,1.0 ± 0.0,8.65e+05 ± 2.34e+05,0.021570095540576505,0.1288135080713427,234010.50077868465
HouseSales,K-NoOrthog,Small,0.487245 ± 0.021253,0.363851 ± 0.016948,0.756489 ± 0.022566,1.1145 ± 0.0506,0.023039 ± 0.001021,421.26 ± 0.00,1.0 ± 0.0,7.31e+05 ± 4.68e+05,0.021252716173913503,0.05056096421117853,467938.51759811543
HouseSales,K-NoDivPenalty,Small,0.486363 ± 0.021348,0.363087 ± 0.017027,0.757358 ± 0.022698,1.7274 ± 0.0459,0.044786 ± 0.000546,1295.26 ± 0.00,1.0 ± 0.0,5.34e+05 ± 3.37e+05,0.021347829914339176,0.045889591309002324,336944.94269947574
HouseSales,K-NoFreeze,Small,0.486363 ± 0.021348,0.363087 ± 0.017027,0.757358 ± 0.022698,1.9226 ± 0.1445,0.044745 ± 0.000987,1295.26 ± 0.00,1.0 ± 0.0,5.34e+05 ± 3.37e+05,0.021347829914339176,0.1444564863368839,336944.94269947574
Elevators,Kernos,Small,0.520559 ± 0.043469,0.367609 ± 0.029008,0.734755 ± 0.045297,1.4735 ± 0.1255,0.030766 ± 0.000297,770.15 ± 0.00,1.0 ± 0.0,1.57e+06 ± 4.26e+05,0.04346903741427074,0.12552697796394477,425849.6023694063
Elevators,Ridge,Small,0.429794 ± 0.018176,0.294448 ± 0.003375,0.820508 ± 0.009892,0.0001 ± 0.0000,0.000008 ± 0.000000,0.01 ± 0.00,0.0 ± 0.0,nan ± nan,0.018175777098067728,3.867126893982987e-06,nan
Elevators,Nystrom,Small,0.983364 ± 0.019842,0.635184 ± 0.009771,0.060505 ± 0.006571,0.1056 ± 0.0087,0.012935 ± 0.000636,374.58 ± 0.00,0.0 ± 0.0,nan ± nan,0.019841680784585026,0.008659971427721931,nan
Elevators,RFF,Small,1.009147 ± 0.013567,0.659955 ± 0.005214,0.010374 ± 0.006678,0.0799 ± 0.0056,0.013889 ± 0.000933,136.23 ± 0.00,0.0 ± 0.0,nan ± nan,0.013567147987146616,0.005625156050432269,nan
Elevators,K-NoRefresh,Small,0.483124 ± 0.022989,0.336879 ± 0.013579,0.772781 ± 0.020163,1.4135 ± 0.1807,0.032182 ± 0.001714,770.15 ± 0.00,0.0 ± 0.0,8.46e+05 ± 3.42e+05,0.022988652826161044,0.18066027344108662,342134.18034191953
Elevators,K-NoHysteresis,Small,0.520559 ± 0.043469,0.367609 ± 0.029008,0.734755 ± 0.045297,1.3694 ± 0.1160,0.032400 ± 0.001641,770.15 ± 0.00,1.0 ± 0.0,1.57e+06 ± 4.26e+05,0.04346903741427074,0.11601560716571474,425849.6023694063
Elevators,K-NoCooldown,Small,0.520559 ± 0.043469,0.367609 ± 0.029008,0.734755 ± 0.045297,1.5934 ± 0.0961,0.030526 ± 0.000144,770.15 ± 0.00,1.0 ± 0.0,1.57e+06 ± 4.26e+05,0.04346903741427074,0.09613466493564533,425849.6023694063
Elevators,K-NoResidAnchors,Small,0.519541 ± 0.031252,0.363126 ± 0.015875,0.736960 ± 0.029582,1.3574 ± 0.0375,0.031801 ± 0.001109,770.15 ± 0.00,1.0 ± 0.0,2.45e+06 ± 1.10e+06,0.0312518790779247,0.03749754544507939,1098055.8099383083
Elevators,K-NoOrthog,Small,0.518989 ± 0.042751,0.366198 ± 0.028091,0.736419 ± 0.044272,1.0146 ± 0.0581,0.017689 ± 0.000977,323.67 ± 0.00,1.0 ± 0.0,2.24e+06 ± 6.69e+05,0.04275133914218624,0.058130107737457165,669171.854207285
Elevators,K-NoDivPenalty,Small,0.520559 ± 0.043469,0.367609 ± 0.029008,0.734755 ± 0.045297,1.3734 ± 0.0690,0.030846 ± 0.000465,770.15 ± 0.00,1.0 ± 0.0,1.57e+06 ± 4.26e+05,0.04346903741427074,0.06895677438777707,425849.6023694063
Elevators,K-NoFreeze,Small,0.520559 ± 0.043469,0.367609 ± 0.029008,0.734755 ± 0.045297,1.5510 ± 0.1278,0.031534 ± 0.001646,770.15 ± 0.00,1.0 ± 0.0,1.57e+06 ± 4.26e+05,0.04346903741427074,0.1277942322681689,425849.6023694063
CPUActivity,Kernos,Small,0.451408 ± 0.082915,0.262725 ± 0.031200,0.797583 ± 0.048076,1.2961 ± 0.0912,0.012824 ± 0.000746,194.31 ± 0.00,1.0 ± 0.0,7.51e+05 ± 5.56e+05,0.08291466716169058,0.09121793759132642,556345.5390570805
CPUActivity,Ridge,Small,0.528448 ± 0.037352,0.328264 ± 0.008731,0.722664 ± 0.007707,0.0001 ± 0.0000,0.000006 ± 0.000000,0.02 ± 0.00,0.0 ± 0.0,nan ± nan,0.03735248902945884,5.5533202128046515e-06,nan
CPUActivity,Nystrom,Small,0.930204 ± 0.058745,0.411106 ± 0.026487,0.139990 ± 0.018004,0.0631 ± 0.0039,0.008009 ± 0.000022,240.93 ± 0.00,0.0 ± 0.0,nan ± nan,0.058745042403696594,0.003945358793054967,nan
CPUActivity,RFF,Small,0.955895 ± 0.051183,0.501982 ± 0.022986,0.090708 ± 0.024219,0.0387 ± 0.0015,0.005723 ± 0.000062,67.28 ± 0.00,0.0 ± 0.0,nan ± nan,0.0511831506275913,0.0015440248632754567,nan
CPUActivity,K-NoRefresh,Small,0.407806 ± 0.067337,0.234771 ± 0.025382,0.834965 ± 0.033600,1.0924 ± 0.0713,0.012896 ± 0.000375,194.31 ± 0.00,0.0 ± 0.0,1.57e+06 ± 1.21e+06,0.06733675004078092,0.0713138764144714,1212584.4695675345
CPUActivity,K-NoHysteresis,Small,0.451408 ± 0.082915,0.262725 ± 0.031200,0.797583 ± 0.048076,1.1790 ± 0.1282,0.012465 ± 0.000469,194.31 ± 0.00,1.0 ± 0.0,7.51e+05 ± 5.56e+05,0.08291466716169058,0.12819925721037082,556345.5390570805
CPUActivity,K-NoCooldown,Small,0.451408 ± 0.082915,0.262725 ± 0.031200,0.797583 ± 0.048076,1.0914 ± 0.1251,0.012278 ± 0.000128,194.31 ± 0.00,1.0 ± 0.0,7.51e+05 ± 5.56e+05,0.08291466716169058,0.12509667919153686,556345.5390570805
CPUActivity,K-NoResidAnchors,Small,0.464412 ± 0.064656,0.265890 ± 0.020780,0.786483 ± 0.031817,1.2310 ± 0.1292,0.012454 ± 0.000587,194.31 ± 0.00,1.0 ± 0.0,1.65e+06 ± 9.34e+05,0.0646555775354581,0.12918596938105217,934052.6375130684
CPUActivity,K-NoOrthog,Small,0.455470 ± 0.084787,0.265952 ± 0.031246,0.793911 ± 0.049860,0.8523 ± 0.0825,0.008815 ± 0.000349,160.02 ± 0.00,1.0 ± 0.0,4.94e+05 ± 2.48e+04,0.08478723581133743,0.08248275368661083,24761.36515615979
CPUActivity,K-NoDivPenalty,Small,0.451408 ± 0.082915,0.262725 ± 0.031200,0.797583 ± 0.048076,1.1639 ± 0.0427,0.013094 ± 0.000126,194.31 ± 0.00,1.0 ± 0.0,7.51e+05 ± 5.56e+05,0.08291466716169058,0.042650421671942926,556345.5390570805
CPUActivity,K-NoFreeze,Small,0.451408 ± 0.082915,0.262725 ± 0.031200,0.797583 ± 0.048076,1.2040 ± 0.1563,0.013511 ± 0.000159,194.31 ± 0.00,1.0 ± 0.0,7.51e+05 ± 5.56e+05,0.08291466716169058,0.1563388137286074,556345.5390570805
